စဉ်,"ကုမ္ပဏီအမည်
",ခွင့်ပြုမိန့်/ အတည်ပြုမိန့်အမှတ်,ရင်းနှီးမြှုပ်နှံမှု ပုံစံ,လုပ်ငန်းအမျိုးအစား, လုပ်ငန်းတည်နေရာ,"ရင်းနှီးမြှုပ်နှံမှု
စုစုပေါင်း ပမာဏ(USD in Million)",ထုတ်ကုန် အမျိုးအစား,ကုန်ကြမ်း အမျိုးအစား,ရင်းနှီးတိုး,ရင်းနှီးလျော့,"YRIC 
အစည်းအဝေး", ဝန်ထမ်း,, ဝန်ထမ်း,,"ရင်းနှီးမြှုပ်နှံမှု
သက်တမ်း",နိုင်ငံ,မှတ်ချက်,ဆက်သွယ်ရမည့်အမည်/ဖုန်းနံပါတ်,"ကုမ္ပဏီမှတ်ပုံတင်
အမှတ်",ရင်းနှီးမြှုပ်နှံမှုကဏ္ဍ,ဘဏ် ငွေစာရင်းအမှတ် နှင့် ဘဏ်အမည်,မြေဧရိယာ ,"မြေဧရိယာ 
တိုး","မြေဧရိယာ 
လျော့ချ"," အတည်ပြုမိန့်
ပြည်လည်
အပ်နှံခြင်း",လတ္တီကျူ/ လောင်ဂျီကျူ,စီးပွားဖြစ်စ,တည်ဆောက်ရေးကာလ,ရင်းနှီးမြှုပ်နှံသူ/ ကမကထအမည်ပြောင်း,"အတည်ပြုမိန့် မူရင်းနှင့်
 ဆုံးဖြတ်ချက်မူရင်း
ပြန်လည်အပ်နှံခြင်း"
၂၃၀,"Soki Bag & Accessories (Myanmar) Company Limited
(Chinese)  









","အတည်ပြုမိန့်အမှတ် ရကတ- ၂၇၀/၂၀၁၉
(၈.၁၀.၂၀၁၉ ) ",,"Manufacturing of miscellaneous articles of personal use (Such as Bags, Hair band, Tiara, Hair pin, Keychain, Necklace, Earring, Bracelet, Ring, Wallet) လုပ်ငန်း","မြေကွက်အမှတ် ၈၀၊  မြေတိုင်းရပ် ကွက်အမှတ် ၁၁၃၊ စက်မှုဇုန်၊ ဒဂုံမြို့သစ်အရှေ့ပိုင်းမြို့နယ်၊ 
 ရန်ကုန်တိုင်းဒေသကြီး။
မြေကွက်အမှတ် ၅၅/၃၊  မြေတိုင်းရပ်ကွက်အမှတ် ၁၀၉ ၊ စက်မှုဇုန်၊ ဒဂုံမြို့သစ်အရှေ့ပိုင်းမြို့နယ်၊ ရန်ကုန်တိုင်းဒေသကြီး။","၀.၄၂၃  





",,,0.169*,,"12/2022
14-12-2022
ရင်းနှီးတိုး၊
ရင်းနှီးပုံစံပြင်
အရပ်ဒေသပြောင်း",၃၀၀,၅,,,၁၀,China,,"Mr.Qi Xue   (Director) 
၀၉၉၇၈၀၉၈၈၈၈
",121695758,Industry,"CB Bank
0151100500001546
0174100900002917","၂.၂၅၀ဧကအနက်မှ
၀.၄၅၉ ဧက
၁၈၅၇.၅၁
စတုရန်းမီတာ",,,,"16.89309,96.22150",28-12-2020,,,
၂၃၁,"Myanmar Yangon Evereach Company Limited
(Chinese)  

 







","အတည်ပြုမိန့်အမှတ် ရကတ- ၂၇၁/၂၀၁၉
(၈.၁၀.၂၀၁၉ ) ",, CMP စနစ်ဖြင့် အိတ်အမျိုးမျိုး ချုပ်လုပ်ခြင်း လုပ်ငန်း,"မြေကွက်အမှတ် ၈၀၊ မြေတိုင်းရပ်ကွက်အမှတ် -စက်မှုဇုန် ၁၊ လှိုင်သာယာမြို့နယ်၊ ရန်ကုန်တိုင်းဒေသကြီး











","၀.၉၀၀  





",,,,,,,,,,,China,,09-421016798,,, ,,,,,"16.833060, 96.284331",,,,
၂၃၂,"Yuqiu (Myanmar) Electronic Company Limited
(Chinese)  

 







","အတည်ပြုမိန့်အမှတ် ရကတ- ၂၇၂/၂၀၁၉
(၈.၁၀.၂၀၁၉ ) ",,CMP စနစ်ဖြင့် Electrical Accessories အမျိုးမျိုး ထုတ်လုပ် ခြင်းလုပ်ငန်း,"မြေကွက်အမှတ် ၇၂၊ မြေတိုင်းရပ်ကွက်အမှတ် -စက်မှုဇုန် ၁၊  ဒဂုံဆိပ်ကမ်းမြို့နယ်၊ ရန်ကုန်တိုင်းဒေသကြီး












","၁.၀၀၀ 





",,,0.54,,"14/2020
26-8-2020
YRIC 10-2022
26-10-2022
အတည်ပြုမိန့်
အပ်နှံခြင်း",,,,,,China,," Mr.Liu Peiqiang   (Director)  
Pq@chinayugiu.com
09-750168216
",,," Mr.Liu Peiqiang   (Director)  
Pq@chinayugiu.com
09-750168216
မြေကွက်အမှတ် ၇၂၊ မြေတိုင်းရပ်ကွက်အမှတ် -စက်မှုဇုန် ၁၊ဒဂုံဆိပ်ကမ်းမြို့နယ်၊ ရန်ကုန်တိုင်း ဒေသကြီး               ",,,,"YRIC (10/2022)
26-10-2022
အတည်ပြုမိန့်
ပြန်အပ်ပြီးဖြစ်ပါသည်။",,,,,
၂၃၃,"Myanmar Kingtong Bags Co., Ltd.
(Chinese)  

 







","အတည်ပြုမိန့်အမှတ် ရကတ- ၂၇၃/၂၀၁၉
(၈.၁၀.၂၀၁၉ ) ",,CMP စနစ်ဖြင့် အိတ်အမျိုးမျိုး ချုပ်လုပ်ခြင်းလုပ်ငန်း,"မြေကွက်အမှတ်(၄၃)၊ မြေတိုင်းရပ်ကွက်အမှတ် (အပိုင်း-၄)၊   စက်မှုဇုန်၊ လှိုင်သာယာ မြို့နယ်၊ ရန်ကုန်တိုင်း ဒေသကြီး













","အမေရိကန်
ဒေါ်လာ
၀.၇၀၇   သန်း





",,,?,,"6/2020
29-4-2020",,,,,,China,," Mr. Huang, Tianyong
340369207@qq.com
09-976486535
09-987307370",,," Mr. Huang, Tianyong
340369207@qq.com",,,,,"16.897368813504762, 96.22176783109931",,,,
၂၃၄,"Belink (Myanmar) Technology Co., Ltd.
(Hong Kong)  

 







","အတည်ပြုမိန့်အမှတ် ရကတ- ၂၇၄/၂၀၁၉
(၂၉.၁၀.၂၀၁၉ ) ",,CMP စနစ်ဖြင့် ဆက်သွယ်ရေး လုပ်ငန်းသုံး Signal Cable အမျိုးမျိုး ထုတ်လုပ်ခြင်းလုပ်ငန်း,"မြေကွက်အမှတ်(၂၁)၊ မြေတိုင်းရပ်ကွက်အမှတ် (၁၁၂)၊        ဒဂုံ မြို့သစ်(အရှေ့ပိုင်း )မြို့နယ်၊ ရန်ကုန်တိုင်းဒေသကြီး














","အမေရိကန်
ဒေါ်လာ
၁.၅၀၀ သန်း





",,,,,,,,,,,Hong Kong,," Mr. Huang Fabin(Director)
09-676229339",,,,,,,,,,,,
၂၃၅,"Gaotai Garment (Myanmar)Company Limited
(China)  

 







",အတည်ပြုမိန့်အမှတ် ရကတ- ၂၇၅/၂၀၁၉  ( ၂၉.၁၀.၂၀၁၉ ) ,,CMP စနစ်ဖြင့် အဝတ်အထည်အမျိုးမျိုးချုပ် လုပ်ခြင်း လုပ်ငန်း,"မြေကွက်အမှတ်- ၇၂ ၊ မြေတိုင်းရပ်ကွက်အမှတ်- ၄၂၊ စက်မှုဒေသ၊ ရွှေပြည်သာမြို့နယ်၊ ရန်ကုန်တိုင်းဒေသကြီး















","အမေရိကန်
ဒေါ်လာ
၀.၈၉၆ သန်း





",,,,,,၄၀၀,၈,၄၀၀,၈,၆,China,," Xin Zhen 
Managing Director
09-446231775
၀၉-၉၆၆၆၆၁၃၁၄၉
 (မနန်းအေမွေ) ",,,,,,,,"16.895956, 96.247627",,,,
၂၃၆,"Long Heng(Myanmar) Manufacturing Company Limited 
(Hong Kong)   

 







","အတည်ပြုမိန့်အမှတ် ရကတ- ၂၇၆/၂၀၁၉
( ၂၉.၁၀.၂၀၁၉ ) ",,CMP စနစ်ဖြင့် ရုံးသုံး၊ကျောင်းသုံး စာရေးကိရိယာ အမျိုးမျိုး ထုတ်လုပ်ခြင်းလုပ်ငန်း,"မြေကွက် အမှတ်-၅၊ မြေတိုင်းရပ်ကွက်အမှတ်- ၁၄၄၊ ဒဂုံမြို့သစ်တောင်ပိုင်းမြို့နယ်၊ ရန်ကုန်တိုင်း ဒေသကြီး
















","အမေရိကန်
ဒေါ်လာ
၀.၈၀၈ သန်း





",,,,,,,,,,,Hong Kong,,"Mr. Hong Zhenmei86-13798852148, jasonhu@dgjunc.com
၀၉၂၅၀၁၇၉၉၉၆
09-685675343
09-420035220
",,,,,,,,"16.856673, 96.059132",,,,
၂၃၇,"Tae Hyun (Myanmar) Industry Company Limited
(Myanmar)   

 







","အတည်ပြုမိန့်အမှတ် ရကတ- ၂၇၇/၂၀၁၉
(၂၉ .၁၀.၂၀၁၉ ) ",,CMP စနစ်ဖြင့် အဝတ်အထည် နှင့် ဦးထုပ် အမျိုးမျိုး ချုပ်လုပ်ခြင်း လုပ်ငန်း,"မြေကွက်အမှတ် ၁၃၉၊ မြေတိုင်းရပ်ကွက်အမှတ် -အပိုင်း(၄)၊  စက်မှုဇုန်၊ လှိုင်သာယာမြို့နယ်၊ ရန်ကုန်တိုင်းဒေသကြီး

















","အမေရိကန်
ဒေါ်လာ
၀.၈၃၀ သန်း





",,,,,,,,,,,,,"Mr. Hong Zhenmei86-13798852148, jasonhu@dgjunc.com
၀၉၂၅၀၁၇၉၉၉၆
09-770485615
",,,"Mr. Hong Zhenmei86-13798852148, jasonhu@dgjunc.com
၀၉၂၅၀၁၇၉၉၉၆
မြေကွက် အမှတ် (၅)၊ မြေတိုင်းရပ်ကွက်အမှတ် ၁၄၄၊ ဒဂုံမြို့သစ်တောင်ပိုင်းမြို့နယ်၊ ရန်ကုန်တိုင်း ဒေသကြီး",,,,,,,,,
၂၃၈,"Ke Long Dian Gong(Myanmar) Co., Ltd. 
(Chinese)


 







","အတည်ပြုမိန့်အမှတ် ရကတ- ၂၇၉/၂၀၁၉
(၈.၁၁.၂၀၁၉ )",,CMP စနစ်ဖြင့် Punch အမျိုးမျိုး ထုတ်လုပ်ခြင်း လုပ်ငန်း ,"Unit#C-021၊ မြေကွက်အမှတ်(၅)၊ မြေတိုင်းရပ်ကွက်အမှတ် (၁၄၃/၁)၊ ဒဂုံမြို့သစ်တောင်ပိုင်း မြို့နယ်၊ ရန်ကုန်တိုင်း ဒေသကြီး 



















","အမေရိကန်
ဒေါ်လာ ၀.၆၆၄သန်း






",,,,,,,,,,,China,,"Mr. Yan, Guomin
kelongygm@vip.163.com
09-421016798",,,"Mr. Yan, Guomin
kelongygm@vip.163.com
PP No:EF 8955071
Room 501, Unit 1, Building 1, N0.20, Xin’anjiang Peninsula, Jiande City, Hangzhou, Zhejiang , People’s Republic of China",,,,,,,,,
၂၃၉,"Alticy Company Limited
(Chinese)(Taiwan)


 







","အတည်ပြုမိန့်အမှတ် ရကတ- ၂၈၀/၂၀၁၉
(၈.၁၁.၂၀၁၉ )",,"CMP စနစ်ဖြင့် အိတ်အမျိုးမျိုးချုပ်လုပ်
ခြင်း လုပ်ငန်း","မြေကွက်အမှတ်- ၁၂၃၉ ၊ (၁၂၄၀+၁၂၄၁) အနက် မှ ၁၂၄၀၊ မြေတိုင်းရပ်ကွက် အမှတ်-၆၃၊ စက်မှုဇုံ ၊ ဒဂုံမြို့သစ် တောင်ပိုင်း မြို့နယ်၊ ရန်ကုန်တိုင်း ဒေသကြီး

















","အမေရိကန်
ဒေါ်လာ ၁.၀၀၀ သန်း







",,,,,,,,,,,China,,"Mr. Wu,Ping-Hsuan
၀၉၉၅၉၅၃၅၄၀၃ 
",,,"Mr. Wu,Ping-Hsuan
၀၉၉၅၉၅၃၅၄၀၃ 
မြေကွက်အမှတ်- ၁၂၃၉ ၊ ၁၂၄၀၊ မြေတိုင်း ရပ်ကွက် အမှတ်-၆၃၊ စက်မှုဇုံ ၊ ဒဂုံမြို့သစ် တောင်ပိုင်းမြို့နယ်၊ ရန်ကုန်တိုင်းဒေသကြီး",,,,,,,,,
၂၄၀,"MTM (Yangon) Limited
 (Chinese)


 







","အတည်ပြုမိန့်အမှတ် ရကတ- ၂၈၁/၂၀၁၉
(၈.၁၁.၂၀၁၉ )",,CMP စနစ်ဖြင့် အိတ်နှင့်ခါးပတ် အမျိုးမျိုး ချုပ်လုပ်ခြင်း လုပ်ငန်း,"မြေကွက်အမှတ် (၂)၊ စက်မှုဇုန်(၂)၊ ဒဂုံဆိပ်ကမ်း မြို့နယ်၊ ရန်ကုန်တိုင်း ဒေသကြီး 
















","အမေရိကန်
ဒေါ်လာ ၁.၆၀၀သန်း 






",,,,,,,,,,,China,,"Mr. Xia Tianwen
skywalker40@163.com
09-5034427,
 09-750113900, 
",,,"Mr. Xia Tianwen
skywalker40@163.com
09-5034427, 09-750113900, 
No. 129, Kaba Aye Pagoda Road, 01-05 Level 7, Myanmar Center, Bahan Township, Yangon",,,,,,,,,
၂၄၁,"Rich Line Company Limited  
(Chinese)


 







","အတည်ပြုမိန့်အမှတ် ရကတ- ၂၈၂/၂၀၁၉
(၈.၁၁.၂၀၁၉ )",,CMP စနစ်ဖြင့် အဝတ်အထည်   ချုပ်လုပ်ခြင်းလုပ်ငန်း ,"မြေကွက်အမှတ်- ၁၂၇ မြေတိုင်းရပ်ကွက်အမှတ်- ဇုန်(၂)၊ စက်မှုဇုန်၊ လှိုင်သာယာမြို့နယ် ၊ ရန်ကုန်တိုင်းဒေသကြီး 

















","အမေရိကန်
ဒေါ်လာ ၁.၂၀၀ သန်း






",,,,,,,,,,,China,,"Ms. Zhang Zuwei (Director)                 
bines0142000@yahoo. com
09-953059072",,,"Ms. Zhang Zuwei (Director)                 
bines0142000@yahoo. com
မြေကွက်အမှတ်- ၁၂၇ မြေတိုင်းရပ်ကွက်အမှတ်- ဇုန်(၂)၊ စက်မှုဇုန်၊ လှိုင်သာယာမြို့နယ် ၊ ရန်ကုန် တိုင်းဒေသကြီး",,,,,"16.837022, 96.083506",,,,
၂၄၂,"Global Thai (Myanmar) Fiber Product Company Limited
(Chinese)  



 







","အတည်ပြုမိန့်အမှတ် ရကတ- ၂၈၃/၂၀၁၉
(၈.၁၁.၂၀၁၉ )",,Manufacturing of  man-made fibres such as Synthetic Resin for CMP Factory Enterprises,"မြေကွက်အမှတ်- ၁၈၂/ ၁၈၃၊ မြေတိုင်းရပ်ကွက် အမှတ်- ဇုန်(၁)၊ စက်မှုဇုန်၊ လှိုင်သာယာမြို့နယ် ၊ ရန်ကုန်တိုင်းဒေသကြီး

















","အမေရိကန်
ဒေါ်လာ ၃.၃၇၀ သန်း







",,,,,No,,,,,၅,China,,"Mr. Liu Guiyou (GM)
၀၉ ၆၇၇၇၃၈၈၈၃
 ဉီးကျော်ဉီး(စက်ရုံမှူး) wangenhuai@ globalthai.com.cn
",,,"Mr. Liu Guiyou (GM)
၀၉ ၆၇၇၇၃၈၈၈၃ ဉီးကျော်ဉီး(စက်ရုံမှူး) wangenhuai@ globalthai.com.cn
မြေကွက်အမှတ်-၁၈၂/၁၈၃ ၊ မြေတိုင်းရပ်ကွက် အမှတ်- ဇုန် - ၁၊ စက်မှုဇုန် ၊လှိုင်သာယာမြို့နယ် ၊  ရန်ကုန်တိုင်းဒေသကြီး",,,,,,,,,
၂၄၃,"Myanmar Lordroad Fashion Company Limited 
(Chinese)



 







",အတည်ပြုမိန့်အမှတ် ရကတ- ၂၈၄/၂၀၁၉ (၈.၁၁.၂၀၁၉ ),,CMP စနစ်ဖြင့် အဝတ်အထည် အမျိုးမျိုး ချုပ်လုပ်ခြင်းလုပ်ငန်း,"မြေကွက်အမှတ်-၃၀၉၊ မြေတိုင်းရပ်ကွက်အမှတ်- ရန်ကုန် စက်မှု ဇုန်၊ မင်္ဂလာဒုံမြို့နယ်၊ ရန်ကုန်တိုင်းဒေသကြီး။ 















",၁.၁,,,,,,,,,,,China,လုပ်ငန်းစတင်နိုင်ခြင်းမရှိပါ။,"ဒေါ်ကြည်သာဝင်းပြည့် (ဒါရိုက်တာ)
robbie@lordroad.cn
၀၉-၅၅၀၃၂၅၈
",,,,,,,,"17.166392, 95.988238",,,,
၂၄၄,"Able Better Garment Company Limited (Chinese)



 







",အတည်ပြုမိန့်အမှတ် ရကတ- ၂၈၅/၂၀၁၉ (၈.၁၁.၂၀၁၉ ),,CMP စနစ်ဖြင့် အဝတ်အထည်များ ချုပ်လုပ်ခြင်း လုပ်ငန်း,"မြေကွက်အမှတ် ၁၁၁၊ မြေတိုင်းရပ်ကွက်အမှတ် မြောင်းတကာ သံမဏိစက်မှုဇုန်၊ မှော်ဘီမြို့နယ်၊ ရန်ကုန်တိုင်းဒေသကြီး 















",၂.၅၃၈,,,"0.326
",,"YRIC (9/2022)
28-9-2022",,,,,,China,,"ဒေါ်သဇင်ထွန်း (မန်နေဂျာ)
၀၉၇၆၈၇၀၃၃၃၁၊ ၀၉၄၅၅၆၆၁၆၆၆
",,,,,,,,,,,,
၂၄၅,"C Star Myanmar Golden Bag Factory Company Limited 
( Chinese)


 







","အတည်ပြုမိန့်အမှတ် ရကတ- ၂၈၆/၂၀၁၉
(၈.၁၁.၂၀၁၉ ) ",,CMP စနစ်ဖြင့် အိတ်အမျိုးမျိုး ချုပ်လုပ်ခြင်း လုပ်ငန်း ,"မြေကွက်အမှတ်၂၀၄ ၊ မြေတိုင်းရပ်ကွက်အမှတ် -၁၁၃၊ စက်မှုဇုန်အပိုင်း (၁)၊ ဒဂုံမြို့သစ်(အရှေ့ပိုင်း)
မြို့နယ်၊ ရန်ကုန်တိုင်း ဒေသကြီး

















",၁.၁,,,,,,,,,,,China,,"Mr. Xie Zuoshen (Director)
bryan6cstarpromo.am
09-961578616
",,,,,,,,,,,,
၂၄၆,"Myanmar Rui Xin Shoes Company Limited
(Chinese)     




 







","အတည်ပြုမိန့်အမှတ် ရကတ- ၂၈၇/၂၀၁၉
(၈.၁၁.၂၀၁၉ )",,CMP စနစ်ဖြင့် ဖိနပ်အမျိုးမျိုး ချုပ်လုပ်ခြင်း လုပ်ငန်း ,"မြေကွက်အမှတ် -(E-6)၊ မြေတိုင်းရပ်ကွက်အမှတ် (၂၁)၊ မြစိမ်းရောင်စက်မှု ဇုန်(၃)၊ လှိုင်သာယာ မြို့နယ်၊  ရန်ကုန်တိုင်း ဒေသကြီး 


















"," ၃.၆၈၀  








",,,,,,,,,,,China,,"Mr.Wang Jianhua (Director)
၀၉၇၉၄၅၅၉၁၂၂
",,,,,,,,,,,,
၂၄၇,"Kseng(Myanmar) Apparel Company   Limited 
 ( Chinese)



 







","အတည်ပြုမိန့်အမှတ် ရကတ- ၂၈၈/၂၀၁၉
(၈.၁၁.၂၀၁၉ )",,CMP စနစ်ဖြင့် အဝတ်အထည်အမျိုးမျိုး ချုပ်လုပ်ခြင်းလုပ်ငန်း ,"မြေကွက်အမှတ်- ၄၇+ ၄၈+၄၉+၆၄+၆၅+၆၆ အနက်မှ မြေကွက်  အမှတ်(၄၉)၊ မြေတိုင်း ရပ်ကွက် အမှတ် (၅၁)၊ သာဓုကန်စက်မှုဇုန်၊ ရွှေပြည်သာ မြို့နယ်၊ ရန်ကုန်တိုင်း ဒေသကြီး


















"," ၁.၂၀၀ 








",,,,,,,,,,,China,,"Mr. Tang Qing Hai
86+15150516581,09-974356978
",,,"Mr. Tang Qing Hai
86+15150516581,09-974356978
N0-501, Huangqian, Taozhung, Yuhan District, Mashan, Anhui, Province, The People’s Republic of China
",,,,,,,,,
၂၄၈,"Myanmar Yingfa Solar Company   Limited 
 ( Chinese)


 







","အတည်ပြုမိန့်အမှတ် ရကတ- ၂၈၉/၂၀၁၉
(၈.၁၁.၂၀၁၉)",,CMP စနစ်ဖြင့်  Solar Panels ထုတ်လုပ်ခြင်းလုပ်ငန်း ,"မြေကွက်အမှတ်(၂၄၀)၊  မြေတိုင်းရပ်ကွက်အမှတ်- ဇုန်(၂)၊  လှိုင်သာယာ မြို့နယ်၊ ရန်ကုန်တိုင်း ဒေသကြီး 


















"," ၄.၉၀၀ 








",,,,,,,,,,,China,,"Mr. Zhang Jie(Director)
+ 86 13701938563
09-953059072",,,"Mr. Zhang Jie(Director)
+ 86 13701938563
No.2, Jiangjia village, Yaobeijiangshibi Township, Ninghua, Fuijan Province, People’s Republic of China
",,,,,"16.814985, 96.287332",,,,
၂၄၉,"Xinsheng (Myanmar)Industrial Company Limited 
( Chinese)




 







","အတည်ပြုမိန့်အမှတ် ရကတ- ၂၉၀/၂၀၁၉
(၂၀.၁၁.၂၀၁၉)",,CMP စနစ်ဖြင့် လက်ဆွဲအိတ် ထုတ်လုပ်ခြင်း လုပ်ငန်း ,"ဦးပိုင်အမှတ်-၈/ခ၊ ၉/က၊ ၁၀/က နှင့် ၇+၁၁/င၊ ကွင်း အမှတ် -၇၁၀/ ကုလားဝဲ မြောက်ကွင်း၊ ကုလားဝဲ ကျေးရွာအုပ်စု၊  သန်လျင် မြို့နယ်၊ ရန်ကုန်တိုင်း ဒေသကြီး 


















"," ၁.၀၀၀ 








",,,,,,,,,,,China,,"Mr. Xia, Yin (Director)
 osa@xinshengbags.com
09-766691888, 
",,,"Mr. Xia, Yin (Director)
 osa@xinshengbags.com
09-766691888, 
Unit-2, Room -1203, Building – 3, Huashan Town, Guangzhou, Guangdong, The People’s Republic of China ",,,,,"16.878511, 95.999892",,,,
၂၅၀,"Wellgreen Outdoor (Myanmar) Company Limited
( Chinese)


 







","အတည်ပြုမိန့်အမှတ် ရကတ- ၂၉၁/၂၀၁၉
(၂၀.၁၁.၂၀၁၉)",,CMP စနစ်ဖြင့် အိတ် အမျိုးမျိုး ချုပ်လုပ်ခြင်းလုပ်ငန်း,"မြေကွက်အမှတ်- A-6 ၊ မြေတိုင်းရပ်ကွက်အမှတ် ၂၁၊ မြစိမ်းရောင်စက်မှုဇုန် ၊လှိုင်သာယာမြို့နယ်၊
ရန်ကုန်တိုင်း ဒေသကြီး 


















","၀.၉၆၈ 








",,,,,,,,,,,China,,"Mr.Li Yingyu
 andy@zeepak.com
13763869380
09-421739858
",,,"Mr.Li Yingyu
 andy@zeepak.com
13763869380
မြေကွက်အမှတ်- A-6 ၊ မြေတိုင်းရပ်ကွက်အမှတ် ၂၁၊ မြစိမ်းရောင် စက်မှုဇုန်၊ လှိုင်သာယာမြို့နယ်၊ ရန်ကုန်တိုင်း ဒေသကြီး",,,,,"16.905353, 96.077492",,,,
၂၅၁,"Green Indo Myanmar Company Limited 
(Myanmar)  +India

",အတည်ပြုမိန့်အမှတ် ရကတ- ၂၉၂/၂၀၁၉ (၂၀.၁၁.၂၀၁၉),,ဆန်နှင့်ဆန်ထွက်ပစ္စည်းများ ပြည်တွင်းတွင် ဝယ်ယူ ကြိတ်ခွဲပြီး ပြည်ပသို့ ရာနှုန်းပြည့် ဆန်ချော တင်ပို့ ရောင်းချခြင်းလုပ်ငန်း,"မြေကွက်အမှတ်- ၃၉၁၊ မြေတိုင်းရပ်ကွက်အမှတ်- ၂၅၊ ရွှေလင်ပန်း စက်မှုဇုန် ၊ လှိုင်သာယာ မြို့နယ် ၊ ရန်ကုန်တိုင်းဒေသကြီး။ 

















",၀.၈၉၆,,,,,"2/2022
23-2-2022
6/2022
29-6-2022
ရင်းနှီးမြှုပ်နှံမှု
ပုံစံပြောင်း",,,,,,India,,"ဦးစိန်ဝင်း 
၀၉-၅၁၀၆၃၉၉ greenindo2019@gmail.com
",,,"ဦးစိန်ဝင်း 
၀၉-၅၁၀၆၃၉၉ greenindo2019@gmail.com
အမှတ်-၂၇၊ ၁၂၃ လမ်း၊ သပြေကုန်း ရပ်ကွက်၊ မင်္ဂလာတောင်ညွန့်မြို့နယ်၊ ရန်ကုန်မြို့။",,,,,"16.676146, 96.295578",,,,
၂၅၂,"World Atlantic (Myanmar) Company Limited 
( Taiwan)



 







","အတည်ပြုမိန့်အမှတ် ရကတ- ၂၉၃/၂၀၁၉
(၂၅.၁၁.၂၀၁၉)",,CMP စနစ်ဖြင့် Chandelier အမျိုးမျိုး ထုတ်လုပ်ခြင်းလုပ်ငန်း ,"မြေကွက်အမှတ် ၁၉၊ မြေတိုင်းရပ်ကွက်အမှတ် သီလဝါစက်မှုဇုန်၊ သန်လျင်ကျောက်တန်း
မြို့နယ်၊ ရန်ကုန်တိုင်း ဒေသကြီး 


















"," ၀.၆၈၆ 








",,,0.3,,"13/2020
12-8-2020",,,,,,Taiwan,,"09-776410295
",,,"ဒေါ်ခင်ဆုလွင်
၀၉-၄၅၀၂၁၁၁၃၆
finance@lamplux.com
 
",,,,"YRIC (1/2023)
25-1-2023",,,,,
၂၅၃,"Bansal Overseas Limited
(Indian)




 







","အတည်ပြုမိန့်အမှတ် ရကတ- ၂၉၄/၂၀၁၉
(၂၀.၁၁.၂၀၁၉)",,"Manufacturing of Products for household utensils such as plate, bowls and circle plate for industrial use ","မြေကွက်အမှတ် (၄၅၊ ၄၆)၊ မြေတိုင်းရပ်ကွက်အမှတ်-စက်မှုဇုန်(၃)၊ လှိုင်သာယာမြို့နယ်၊ ရန်ကုန်တိုင်းဒေသကြီး


















"," ၀.၅၁၉ 





",,,,,,,,,,,India,,"Mr. Hardeep Singh Bhasin (Director)
09-5059732
",,,"Mr. Hardeep Singh Bhasin (Director)
09-5059732
vkbansal.yangon@gmail.com
Room-1202, 12th Floor, Times City, Tower 3, kyun Taw Road, Kamaryut Township, Yangon.
",,,,,"16.890093, 96.041743",,,,
၂၅၄,"Shunrong  Garments (Myanmar) Company Limited
 ( Chinese)





 







","အတည်ပြုမိန့်အမှတ် ရကတ- ၂၉၅/၂၀၁၉
(၂၀.၁၁.၂၀၁၉)",,CMP စနစ်ဖြင့် အဝတ်အထည်   ချုပ်လုပ်ခြင်း လုပ်ငန်း,"မြေကွက်အမှတ် ၇၇၊ ၇၈၊ မြေတိုင်းရပ်ကွက်အမှတ်အပိုင်း(၅)၊ စက်မှုဇုန်၊ လှိုင်သာယာမြို့နယ်၊ ရန်ကုန်တိုင်းဒေသကြီး



















"," ၀.၈၉၁ 



",,,,,,,,,,,China,,"Mr. Liu Hailin (Director)    jackyliu@refwear.com
  09961879999
",,,"Mr. Liu Hailin (Director)    jackyliu@refwear.com
  09961879999
မြေကွက်အမှတ် ၇၇၊ ၇၈၊ မြေတိုင်းရပ်ကွက်အမှတ် အပိုင်း(၅)၊ စက်မှုဇုန်၊ လှိုင်သာယာမြို့နယ်၊ ရန်ကုန်တိုင်း ဒေသကြီး။",,,,,,,,,
၂၅၅,"Newel Industry Limited
 ( Chinese)




 







",အတည်ပြုမိန့်အမှတ် ရကတ- ၂၉၆/၂၀၁၉ (၂၀.၁၁.၂၀၁၉),,CMP စနစ်ဖြင့် အိတ်အမျိုးမျိုး ချုပ်လုပ်ခြင်း ,"မြေကွက်အမှတ် -၁၇၆၊  မြေတိုင်းရပ်ကွက်အမှတ် -၁၁၃၊ ဒဂုံမြို့သစ် (အရှေ့ပိုင်း)မြို့နယ်၊ ရန်ကုန်တိုင်း ဒေသကြီး

















"," ၁.၃၈၅ 



",,,,,,,,,,,China,,"Mr. Zhang Changqing (Director)
 andy@zeepak.com
09767179768
09-450053156
09-954553156
 ",,,,,,,,,,,,
